gameid,season,homeOrAway,teamSkaterStatsgoals,teamSkaterStatspim,teamSkaterStatsshots,teamSkaterStatspowerPlayPercentage,teamSkaterStatspowerPlayGoals,teamSkaterStatspowerPlayOpportunities,teamSkaterStatsfaceOffWinPercentage,teamSkaterStatsblocked,teamSkaterStatstakeaways,teamSkaterStatsgiveaways,teamSkaterStatshits,teamid
20,2017,H,6,10,33,0,0,3,53,11,6,11,25,2
20,2018,H,5,8,27,50,1,2,49,8,10,11,24,1
20,2019,H,1,6,32,0,0,5,33,21,4,12,37,9
21,2015,A,2,6,39,20,1,5,42,5,4,10,32,29
21,2016,A,2,6,36,33,1,3,58,10,1,2,34,24
21,2017,A,0,46,26,0,0,5,59,8,3,2,33,18
21,2018,A,4,10,23,0,0,1,45,16,2,6,28,18
21,2019,A,3,8,35,0,0,1,55,5,9,6,24,14
21,2015,H,5,12,29,50,1,2,58,13,8,8,32,3
21,2016,H,3,6,45,33,1,3,42,13,8,0,25,5
21,2017,H,4,36,34,0,0,5,42,14,8,3,25,5
21,2018,H,3,4,29,25,1,4,55,7,6,14,18,2
21,2019,H,4,4,28,67,2,3,45,14,8,10,26,13
22,2015,A,3,12,25,33,1,3,44,17,4,4,32,1
22,2016,A,1,10,22,50,1,2,52,20,6,5,26,2
22,2017,A,1,8,39,0,0,4,39,8,6,4,24,8
22,2018,A,5,6,29,0,0,3,40,22,9,2,32,8
22,2019,A,2,13,30,0,0,1,49,15,4,5,49,29
22,2015,H,5,8,27,40,2,5,56,16,5,3,23,15
22,2016,H,2,4,28,0,0,5,48,14,14,17,16,15
22,2017,H,6,8,23,25,1,4,61,15,5,3,21,15
22,2018,H,1,6,22,0,0,3,60,7,12,6,24,5
22,2019,H,7,7,40,25,1,4,51,8,12,2,44,5
23,2015,A,4,16,19,0,0,1,50,15,7,5,37,17
23,2016,A,3,4,38,20,1,5,42,17,2,0,11,28
23,2017,A,4,10,27,33,1,3,56,16,15,5,27,30
23,2018,A,1,17,33,0,0,3,38,21,2,9,25,52
23,2019,A,3,14,28,25,1,4,45,14,7,13,19,12
23,2015,H,3,4,47,17,1,6,50,10,12,4,19,12
23,2016,H,2,10,28,50,1,2,58,12,4,5,15,29
23,2017,H,4,6,42,20,1,5,44,17,16,7,12,12
23,2018,H,5,13,35,60,3,5,62,15,6,12,22,25
23,2019,H,2,10,34,0,0,6,55,8,7,9,20,15
24,2015,A,0,4,31,0,0,5,52,13,6,8,13,22
24,2016,A,3,15,17,0,0,3,45,11,2,5,13,52
24,2017,A,2,6,40,25,1,4,47,12,7,2,26,25
24,2018,A,5,12,30,0,0,4,44,13,5,3,15,16
24,2019,A,2,4,29,0,0,2,49,10,8,9,22,25
24,2015,H,2,10,26,0,0,2,48,16,6,9,27,18
24,2016,H,4,13,31,25,1,4,55,16,6,10,20,30
24,2017,H,4,10,21,50,1,2,53,15,6,1,39,19
24,2018,H,4,8,30,33,2,6,56,11,4,4,26,19
24,2019,H,3,4,30,0,0,2,51,12,7,7,18,19
25,2015,A,2,10,32,33,1,3,47,14,5,2,19,19
25,2016,A,2,10,35,0,0,2,58,7,6,2,23,3
25,2017,A,1,11,33,0,0,2,52,13,9,9,27,29
25,2018,A,1,9,42,0,0,3,50,4,2,7,19,54
25,2019,A,5,4,28,0,0,2,45,18,8,8,13,17
25,2015,H,3,10,19,33,1,3,53,19,10,7,14,30
25,2016,H,3,4,18,20,1,5,42,13,7,2,14,19
25,2017,H,5,11,29,50,1,2,48,12,6,12,32,16
25,2018,H,1,11,30,0,0,2,50,18,9,7,18,30
25,2019,H,3,4,42,50,1,2,55,9,5,9,18,18
26,2015,A,1,24,29,0,0,2,50,10,9,15,55,2
26,2016,A,3,6,36,50,1,2,53,11,5,6,32,18
26,2017,A,2,6,42,0,0,4,61,16,3,11,27,54
26,2018,A,2,12,37,0,0,3,51,23,2,3,17,4
26,2019,A,2,12,31,25,1,4,54,14,7,5,31,30
26,2015,H,4,4,34,14,1,7,50,14,6,13,32,16
26,2016,H,5,4,27,67,2,3,48,17,8,12,23,16
26,2017,H,1,8,28,0,0,3,39,24,5,11,23,53
26,2018,H,5,10,35,25,1,4,49,17,9,6,14,21
26,2019,H,4,8,32,17,1,6,46,12,10,4,27,21
27,2015,A,3,15,33,25,1,4,50,17,4,10,6,25
27,2016,A,5,6,28,50,2,4,39,16,6,3,23,25
27,2017,A,3,12,28,33,1,3,53,21,10,4,11,52
27,2018,A,1,8,20,0,0,2,46,21,3,3,25,24
27,2019,A,1,8,26,0,0,2,35,15,7,11,25,6
27,2015,H,6,15,28,50,2,4,50,24,3,7,17,21
27,2016,H,6,8,33,67,2,3,62,14,12,8,25,21
27,2017,H,6,6,45,33,2,6,47,10,6,7,15,20
27,2018,H,0,4,41,0,0,4,54,5,4,1,26,53
27,2019,H,0,6,35,0,0,3,65,19,10,11,27,53
28,2015,A,3,12,38,50,1,2,51,11,3,7,23,20
28,2016,A,3,34,30,0,0,4,56,11,1,2,21,4
28,2017,A,2,19,35,20,1,5,45,7,4,2,26,22
28,2018,A,4,12,20,33,2,6,46,23,10,9,16,23
28,2019,A,0,10,34,0,0,6,53,6,5,14,7,23
28,2015,H,2,8,30,25,1,4,49,22,4,13,15,23
28,2016,H,4,8,35,17,1,6,44,16,2,2,30,53
28,2017,H,3,15,26,14,1,7,55,15,8,4,16,23
28,2018,H,7,12,37,50,3,6,55,13,11,15,18,20
28,2019,H,3,14,30,0,0,4,47,19,6,19,13,20
29,2015,A,1,12,28,0,0,4,45,22,5,5,22,5
29,2016,A,1,10,26,0,0,2,49,23,5,8,15,20
29,2017,A,3,6,37,0,0,5,50,12,1,6,17,4
29,2018,A,5,12,24,25,1,4,42,13,8,11,27,3
29,2019,A,5,12,32,20,1,5,52,12,6,16,33,26
29,2015,H,2,14,39,0,0,4,55,11,4,2,25,53
29,2016,H,1,6,31,0,0,4,51,8,3,7,11,23
29,2017,H,2,12,23,0,0,2,50,15,2,9,16,24
29,2018,H,8,10,40,25,1,4,59,16,13,18,30,12
29,2019,H,6,10,31,40,2,5,48,18,9,19,26,22
30,2015,A,0,2,27,0,0,1,55,20,2,12,22,24
30,2016,A,2,10,26,0,0,4,61,13,7,2,27,24
30,2017,A,4,8,39,0,0,6,49,14,7,13,25,26
