player_id,game_id,season,homeOrAway,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,goals_against,shutout,win
8470594,93,2015,H,57:57,0,0,0,23,19,2,1,16,1,19,3,L,82.6086956521739,66.66666666666666,100,84.21052631578947,4,0,0
8471239,94,2015,A,63:52,0,0,0,39,35,7,1,27,2,29,8,W,89.74358974358975,87.5,50,93.10344827586206,4,0,1
8477202,94,2015,H,65:00,0,0,0,32,28,2,0,26,0,28,4,L,87.5,50,,92.85714285714286,4,0,0
8471418,95,2015,A,60:00,0,0,0,29,24,4,0,20,0,24,5,L,82.75862068965517,80,,83.33333333333334,5,0,0
8471469,95,2015,H,60:00,0,0,0,28,27,8,1,18,1,18,9,W,96.42857142857143,88.88888888888889,100,100,1,0,1
8475683,96,2015,A,58:34,0,0,0,23,20,3,0,17,0,19,4,L,86.95652173913044,75,,89.47368421052632,3,0,0
8471227,96,2015,H,59:51,0,0,0,29,27,2,1,24,1,25,3,W,93.10344827586206,66.66666666666666,100,96,2,0,1
8466141,97,2015,A,59:41,0,0,0,27,24,5,0,19,0,20,7,L,88.88888888888889,71.42857142857143,,95,3,0,0
8470645,97,2015,H,59:21,1,0,0,18,16,4,0,12,0,13,5,W,88.88888888888889,80,,92.3076923076923,2,0,1
8474651,98,2015,A,60:00,0,0,0,25,23,2,0,21,0,22,3,W,92,66.66666666666666,,95.45454545454545,2,0,1
8468011,98,2015,H,58:11,0,0,0,35,32,2,4,26,4,29,2,L,91.42857142857143,100,100,89.65517241379311,3,0,0
8473523,99,2015,A,59:36,0,0,0,40,39,8,2,29,2,30,8,W,97.5,100,100,96.66666666666667,1,0,1
8474889,99,2015,H,60:00,0,0,0,29,25,2,0,23,0,25,4,L,86.20689655172413,50,,92,4,0,0
8477237,100,2015,A,59:48,0,0,0,36,34,2,1,31,1,32,3,W,94.44444444444444,66.66666666666666,100,96.875,2,0,1
8473434,100,2015,H,59:58,0,0,0,26,19,1,2,16,2,21,3,L,73.07692307692307,33.33333333333333,100,76.19047619047619,7,0,0
8475361,101,2015,A,60:00,0,0,0,26,23,4,0,19,0,21,5,W,88.46153846153845,80,,90.47619047619048,3,0,1
8470860,101,2015,H,57:42,0,0,0,25,21,1,1,19,1,23,1,L,84,100,100,82.6086956521739,4,0,0
8471750,102,2015,A,60:36,0,0,0,36,33,2,0,31,1,33,2,W,91.66666666666666,100,0,93.93939393939394,3,0,1
8471715,102,2015,H,60:32,0,0,0,31,27,3,0,24,0,28,3,L,87.09677419354838,100,,85.71428571428571,4,0,0
