Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Luke Schenn (13678756),Luke Schenn,13678756,D/UTIL,2600,TB@NYI 11/01/2019 07:00PM ET,TB,4.1
C,German Rubtsov (13678006),German Rubtsov,13678006,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
C,Kevin Rooney (13678020),Kevin Rooney,13678020,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,2.46
C,Brandon Gignac (13678044),Brandon Gignac,13678044,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
C,Connor Bunnaman (13678058),Connor Bunnaman,13678058,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,1.82
C,Michael McLeod (13678062),Michael McLeod,13678062,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
C,Blake Speers (13678078),Blake Speers,13678078,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
C,Morgan Frost (13678084),Morgan Frost,13678084,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
C,Mikhail Vorobyev (13678124),Mikhail Vorobyev,13678124,C/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,2.46
RW,Chris Stewart (13678382),Chris Stewart,13678382,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,1.51
RW,John Hayden (13678398),John Hayden,13678398,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,1.47
LW,Tyler Pitlick (13678412),Tyler Pitlick,13678412,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,2.02
LW,Jesper Boqvist (13678432),Jesper Boqvist,13678432,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,2.05
LW,Carsen Twarynski (13678434),Carsen Twarynski,13678434,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,2.63
RW,Maxim Sushko (13678510),Maxim Sushko,13678510,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
RW,David Kase (13678512),David Kase,13678512,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
RW,Nathan Bastian (13678528),Nathan Bastian,13678528,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
LW,Brett Seney (13678532),Brett Seney,13678532,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
LW,Andy Andreoff (13678544),Andy Andreoff,13678544,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
LW,Matthew Strome (13678550),Matthew Strome,13678550,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
LW,Ben Street (13678554),Ben Street,13678554,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
RW,Joey Anderson (13678570),Joey Anderson,13678570,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
RW,Nicolas Aube-Kubel (13678578),Nicolas Aube-Kubel,13678578,W/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
D,Matt Tennyson (13678804),Matt Tennyson,13678804,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,4.12
D,Philippe Myers (13678830),Philippe Myers,13678830,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
D,Mirco Mueller (13678832),Mirco Mueller,13678832,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,2.56
D,Samuel Morin (13678854),Samuel Morin,13678854,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
D,Ty Smith (13678862),Ty Smith,13678862,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
D,Josh Jacobs (13678864),Josh Jacobs,13678864,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
D,Colton White (13678892),Colton White,13678892,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
D,Nate Prosser (13678912),Nate Prosser,13678912,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
